support,itemsets
0.16166666666666665,{'milk'}
0.159,{'bananas'}
0.158,{'toilet paper'}
0.156,{'beans'}
0.15566666666666668,{'lettuce'}
0.15566666666666668,{'eggs'}
0.15533333333333332,{'apples'}
0.15466666666666667,{'grapes'}
0.15366666666666667,{'bread'}
0.15366666666666667,{'onions'}
0.15333333333333332,{'butter'}
0.15233333333333332,{'rice'}
0.152,{'potatoes'}
0.15133333333333332,{'tea'}
0.15066666666666667,{'oranges'}
0.14966666666666667,{'chicken'}
0.14933333333333335,{'soda'}
0.14866666666666667,{'pasta'}
0.14766666666666667,{'yogurt'}
0.14766666666666667,{'juice'}
0.14733333333333334,{'cookies'}
0.146,{'tomatoes'}
0.14566666666666667,{'coffee'}
0.14566666666666667,{'cheese'}
0.145,{'water'}
0.145,{'ice cream'}
0.14366666666666666,{'carrots'}
0.14266666666666666,{'beef'}
0.14133333333333334,{'chocolate'}
0.14033333333333334,{'cereal'}
